id,imdb_id,popularity,title,cast,genres,tags
26722,tt0812352,0.332142,Nine Miles Down,"['kate nauta', 'adrian paul', 'meredith ostrom', 'amanda douge', 'anthony waller']","['horror', 'mystery', 'thriller']","['horror', 'mystery', 'thriller', 'isolation', 'hallucination', 'gas', 'investigation', 'hell', 'kate nauta', 'adrian paul', 'meredith ostrom', 'amanda douge', 'anthony waller']"
26809,tt1474311,0.330513,Prep & Landing,"['dave foley', 'sarah chalke', 'derek richardson', 'mason vale cotton', 'david deluise']","['animation', 'fantasy', 'family']","['animation', 'fantasy', 'family', 'holiday', 'santa claus', 'dave foley', 'sarah chalke', 'derek richardson', 'mason vale cotton', 'david deluise']"
22820,tt1161418,0.32918,Gentlemen Broncos,"['michael angarano', 'sam rockwell', 'clive revill', 'jemaine clement', 'jennifer coolidge']","['action', 'comedy', 'thriller']","['action', 'comedy', 'thriller', 'writing', 'plagiarism', 'independent film', 'homeschooling', 'aftercreditsstinger', 'michael angarano', 'sam rockwell', 'clive revill', 'jemaine clement', 'jennifer coolidge']"
16335,tt1104006,0.32336,Walled In,"['mischa barton', 'cameron bright', 'deborah kara unger', 'noam jenkins', 'eugene clark']","['horror', 'thriller']","['horror', 'thriller', 'suicide', 'sex', 'based on novel', 'explosive', 'architect', 'mischa barton', 'cameron bright', 'deborah kara unger', 'noam jenkins', 'eugene clark']"
37169,tt1467304,0.32262,The Human Centipede (First Sequence),"['dieter laser', 'ashley c. williams', 'ashlynn yennie', 'akihiro kitamura', 'andreas leupold']",['horror'],"['horror', 'surgeon', 'kidnapping', 'body mutilation', 'psychosis', 'body horror', 'dieter laser', 'ashley c. williams', 'ashlynn yennie', 'akihiro kitamura', 'andreas leupold']"
26587,tt1331307,0.322516,Dread,"['jackson rathbone', 'shaun evans', 'hanne steen', 'laura donnelly', 'jonathan readwin']","['horror', 'drama', 'thriller']","['horror', 'drama', 'thriller', 'nightmare', 'primal fear', 'jackson rathbone', 'shaun evans', 'hanne steen', 'laura donnelly', 'jonathan readwin']"
14164,tt1098327,0.32232,Dragonball Evolution,"['justin chatwin', 'joon park', 'jamie chung', 'emmy rossum', 'james marsters']","['action', 'adventure', 'fantasy', 'science fiction', 'thriller']","['action', 'adventure', 'fantasy', 'science fiction', 'thriller', 'karate', 'superhero', 'revenge', 'dragon', 'duringcreditsstinger', 'justin chatwin', 'joon park', 'jamie chung', 'emmy rossum', 'james marsters']"
8316,tt0496634,0.232913,The Countess,"['julie delpy', 'william hurt', 'daniel brã¼hl', 'anamaria marinca', 'maria simon']","['drama', 'history', 'horror']","['drama', 'history', 'horror', 'hungary', 'virgin', 'beauty', 'dracula', 'aging', 'julie delpy', 'william hurt', 'daniel brã¼hl', 'anamaria marinca', 'maria simon']"
5937,tt1124377,0.319742,John Rabe,"['ulrich tukur', 'dagmar manzel', 'steve buscemi', 'daniel brã¼hl', 'zhang jingchu']","['drama', 'history', 'war']","['drama', 'history', 'war', 'japan', 'china', 'biography', 'ns-zeit', 'life-saver', 'ulrich tukur', 'dagmar manzel', 'steve buscemi', 'daniel brã¼hl', 'zhang jingchu']"
26688,tt1232783,0.319532,Sorority Row,"['rumer willis', 'briana evigan', 'jamie chung', 'leah pipes', 'teri andrzejewski']","['horror', 'mystery', 'thriller']","['horror', 'mystery', 'thriller', 'graduation', 'killer', 'horror movie remade', 'sorority house', 'rumer willis', 'briana evigan', 'jamie chung', 'leah pipes', 'teri andrzejewski']"
24051,tt1405412,0.317799,Hardwired,"['cuba gooding jr.', 'val kilmer', 'alastair gamble', 'juan riedinger', 'michael ironside']","['action', 'adventure', 'science fiction', 'thriller']","['action', 'adventure', 'science fiction', 'thriller', 'amnesia', 'mind control', 'conspiracy', 'on the run', 'corporate world', 'cuba gooding jr.', 'val kilmer', 'alastair gamble', 'juan riedinger', 'michael ironside']"
24271,tt1107860,0.317301,The Maiden Heist,"['morgan freeman', 'christopher walken', 'william h. macy', 'joseph mckenna', 'wynn everett']","['comedy', 'crime']","['comedy', 'crime', 'scuplture', 'theft', 'security guard', 'morgan freeman', 'christopher walken', 'william h. macy', 'joseph mckenna', 'wynn everett']"
19688,tt1032817,0.315422,Middle of Nowhere,"['susan sarandon', 'eva amurri martino', 'anton yelchin', 'justin chatwin', 'brea grant']","['comedy', 'drama']","['comedy', 'drama', 'mother daughter relationship', 'summer', 'real life mother and daughter playing mother and daughter', 'beauty pageant', 'susan sarandon', 'eva amurri martino', 'anton yelchin', 'justin chatwin', 'brea grant']"
20777,tt1119191,0.31482,The Killing Room,"['timothy hutton', 'peter stormare', 'chloã« sevigny', 'bill stinchcomb', 'nick cannon']","['drama', 'thriller']","['drama', 'thriller', 'independent film', 'duringcreditsstinger', 'timothy hutton', 'peter stormare', 'chloã« sevigny', 'bill stinchcomb', 'nick cannon']"
25983,tt1172994,0.31344,The House of the Devil,"['jocelin donahue', 'mary woronov', 'greta gerwig', 'aj bowen', 'heather robb']","['mystery', 'horror']","['mystery', 'horror', 'ritual', 'cult', 'independent film', 'human sacrifice', 'eclipse', 'jocelin donahue', 'mary woronov', 'greta gerwig', 'aj bowen', 'heather robb']"
79896,tt1336006,0.3106,The Revenant,"['chris wylde', 'david anders', 'louise griffiths', 'jacy king']","['comedy', 'horror']","['comedy', 'horror', 'police', 'vigilante', 'blood', 'gangster', 'revenant', 'chris wylde', 'david anders', 'louise griffiths', 'jacy king']"
